y Effekt (kW);Fabrikat;Nr Anläggning Placering D/H I drift;Ber;2013 2014 2015 12mån 12mån Månad Tid Hindertid (tim);;;;;;;;;;;;;;
Hög Låg;;Benämning;  Ort Karta (m);MWh;MWh MWh MWh MWh  % MWh % AHT MS YNS  ÖYS PU Ö;;;;;;;;;;;;;
2000;Enercon;1382 Rodovålen 5;Vemhån E17a 82/98 100608;6000;6637 6087 7587 7587 96;6 922 100;;;;;;;;;;;;
2000;Enercon;1383 Rodovålen 6;Vemhån E17a 82/98 100608;6000;6360 5778 7171 7171 96;8 885 99;;;;;;;;;;;;
2000;Vestas;1387 Långberget 1;Arbrå G15f 90/105 110201;5670;6800 6054 7380 7380 98 917 95 9;;;;;;;;;;;;;
2000;Vestas;1388 Långberget 2;Arbrå G15c 90/105 110201;5670;6060 5408 6621 6621 98;2 795 95 12;;;;;;;;;;;;
2000;Vestas;1389 Långberget 3;Arbrå G15f 90/105 110201;5670;6228 5698 7092 7092 98;9 827 91 42;;;;;;;;;;;;
2000;Enercon;1390 Söderbodane 2;Söderboda C9g 82/108 110107;4750;4585 4396 5433 5433 98;7 680 92 0;;;;;;;;;;;;
2000;Vestas;1395 Herrberga 1;Mjölby F8d 90/105 110228;5200;5319 5331 6624 6624 99;2 841 96 1;;;;;;;;;;;;
2000;Vestas;1396 Herrberga 2;Mjölby F8d 90/105 110228;5200;5107 5193 6469 6469 99;1 823 95 3;;;;;;;;;;;;
2000;Vestas;1397 Herrberga 3;Mjölby F8d 90/105 110228;5200;5040 5159 6352 6352 99;1 768 92 29;;;;;;;;;;;;
2000;Vestas;1399 PRA A01;Lilla Edet B8c 90/105 110301;5726;6170 6017 3472 3472 97;5;;;;;;;;;;;;
2000;Vestas;1400 PRA A02;Lilla Edet B8c 90/105 110301;5726;5810 5657 3381 3381 99;;;;;;;;;;;;;
2000;Vestas;1401 PRA A03;Lilla Edet B8c 90/105 110301;5726;5875 5728 3530 3530 99;1;;;;;;;;;;;;
2000;Vestas;1402 Björka 1;Motala F8g 90/105 110201;5100;6484 6628 7673 7673 98;5 1022 96 17;;;;;;;;;;;;
2000;Vestas;1403 Björka 2;Motala F8g 90/105 110201;5100;6143 6331 7481 7481 98;2 1020 97 9;;;;;;;;;;;;
2000;Enercon;1405 Lejdeberget 2;Bokenäset B8d 82/78 110413;5400;5758 6099 7129 7129 98;3 795 88 72;;;;;;;;;;;;
2000;Enercon;1406 Lejdeberget 3;Bokenäset B8d 82/78 110416;5400;5440 5491 6585 6585 99;2 857 97 7;;;;;;;;;;;;
2000;Enercon;1410 Brostorp 1;Snogeröd D2g 82/98 100301;5500;4847 5157 5995 5995 97;4 851 99 0;;;;;;;;;;;;
2000;Enercon;1411 Ryd-Rönnerum 1;Ryd G4i 82/78 110513;5200;4256 4409 4893 4893 98;8 634 96 27;;;;;;;;;;;;
2000;Enercon;1412 Ryd-Rönnerum 2;Ryd G4i 82/78 110513;5200;3944 3998 4507 4507 97;9 590 97 22;;;;;;;;;;;;
2000;Enercon;1413 Ryd-Rönnerum 3;Ryd G4i 82/78 110513;5200;3901 3926 4440 4440 97;1 614 99 6;;;;;;;;;;;;
2000;Enercon;1414 Ryd-Rönnerum 4;Ryd G4i 82/78 110513;5200;3922 3973 4537 4537 98;5 601 98 7;;;;;;;;;;;;
2000;Enercon;1415 Ryd-Rönnerum 5;Ryd G4i 82/78 110513;5200;4032 4037 4603 4603 99 616 98 11;;;;;;;;;;;;;
2000;Vestas;1416 Stor-Rotliden A-01;Stor-Rotl I21e 90/95 100817;5725;5393 4089 5658 5658 100 723 0;;;;;;;;;;;;;
2000;Vestas;1417 Stor-Rotliden A-02;Stor-Rotl I21e 90/95 100817;5725;5490 3997 5884 5884 100 822 0;;;;;;;;;;;;;
2000;Vestas;1422 Stor-Rotliden A-07;Stor-Rotl I21e 90/95 100923;5725;5412 5133 6805 6805 100 948 0;;;;;;;;;;;;;
2000;Vestas;1423 Stor-Rotliden A-08;Stor-Rotl I21e 90/95 100928;5725;5321 4189 5904 5904 100 848 0;;;;;;;;;;;;;
2000;Vestas;1424 Stor-Rotliden A-09;Stor-Rotl I21e 90/95 100923;5725;6079 4826 6490 6490 100 946 0;;;;;;;;;;;;;
2000;Vestas;1425 Stor-Rotliden A-10;Stor-Rotl I21e 90/95 100923;5725;5997 4835 6532 6532 100 934 0;;;;;;;;;;;;;
2000;Vestas;1426 Stor-Rotliden A-11;Stor-Rotl I21e 90/95 100928;5725;4909 4330 5680 5680 100 821 0;;;;;;;;;;;;;
2000;Vestas;1427 Stor-Rotliden B-01;Stor-Rotl I21e 90/95 100917;5725;5060 4194 5615 5615 100 758 0;;;;;;;;;;;;;
2000;Vestas;1428 Stor-Rotliden B-02;Stor-Rotl I21e 90/95 100917;5725;5256 4550 5698 5698 100 794 0;;;;;;;;;;;;;
2000;Vestas;1429 Stor-Rotliden B-03;Stor-Rotl I21e 90/95 100917;5725;5474 4712 5211 5211 100;;;;;;;;;;;;;
2000;Vestas;1430 Stor-Rotliden B-04;Stor-Rotl I21e 90/95 100917;5725;5941 5092 6555 6555 100 884 0;;;;;;;;;;;;;
2000;Vestas;1431 Stor-Rotliden B-05;Stor-Rotl I21e 90/95 100917;5725;5340 4723 6006 6006 100 825 0;;;;;;;;;;;;;
2000;Vestas;1432 Stor-Rotliden B-06;Stor-Rotl I21e 90/95 100908;5725;5197 4476 5834 5834 100 750 0;;;;;;;;;;;;;
2000;Vestas;1433 Stor-Rotliden B-07;Stor-Rotl I21e 90/95 100908;5725;4501 4038 5107 5107 100 662 0;;;;;;;;;;;;;
2000;Vestas;1434 Stor-Rotliden B-08;Stor-Rotl I21e 90/95 100914;5725;5177 4748 5716 5716 100 745 0;;;;;;;;;;;;;
2000;Vestas;1435 Stor-Rotliden C-01;Stor-Rotl I21e 90/95 100816;5725;5261 4154 5702 5702 100 743 0;;;;;;;;;;;;;
2000;Vestas;1436 Stor-Rotliden C-02;Stor-Rotl I21e 90/95 100816;5725;5286 3891 5579 5579 100 747 0;;;;;;;;;;;;;
2000;Vestas;1439 Stor-Rotliden C-05;Stor-Rotl I21e 90/95 100820;5725;5173 3924 5442 5442 100 635 0;;;;;;;;;;;;;
2000;Vestas;1440 Stor-Rotliden C-06;Stor-Rotl I21e 90/95 100825;5725;5531 4508 6041 6041 100 761 0;;;;;;;;;;;;;
2000;Vestas;1441 Stor-Rotliden C-07;Stor-Rotl I21e 90/95 100825;5725;5183 4485 5748 5748 100 684 0;;;;;;;;;;;;;
2000;Vestas;1442 Stor-Rotliden C-08;Stor-Rotl I21e 90/95 100902;5725;5166 4580 5536 5536 100 835 0;;;;;;;;;;;;;
2000;Vestas;1443 Stor-Rotliden C-09;Stor-Rotl I21e 90/95 100908;5725;5140 4330 5451 5451 100 770 0;;;;;;;;;;;;;
2000;Vestas;1444 Stor-Rotliden C-10;Stor-Rotl I21e 90/95 100914;5725;5810 4702 6109 6109 100 816 0;;;;;;;;;;;;;
2000;Vestas;1446 Stor-Rotliden D-01;Stor-Rotl I21e 90/95 100916;5725;5124 3913 5282 5282 100 751 0;;;;;;;;;;;;;
2000;Vestas;1449 Stor-Rotliden D-04;Stor-Rotl I21e 90/95 100820;5725;5262 3613 5069 5069 100 643 0;;;;;;;;;;;;;
2000;Vestas;1450 Stor-Rotliden D-05;Stor-Rotl I21e 90/95 100804;5725;4443 3309 4429 4429 100 501 0;;;;;;;;;;;;;
2000;Vestas;1451 Stor-Rotliden D-06;Stor-Rotl I21e 90/95 100804;5725;4741 3674 5028 5028 100 566 0;;;;;;;;;;;;;
2000;Vestas;1452 Stor-Rotliden D-07;Stor-Rotl I21e 90/95 100804;5725;4749 3600 4907 4907 100 519 0;;;;;;;;;;;;;
2000;Vestas;1454 Stor-Rotliden D-09;Stor-Rotl I21e 90/95 100729;5725;5224 3639 5400 5400 100 652 0;;;;;;;;;;;;;
2000;Enercon;1468 Kommerberget; Pelle;Perås E18e 82/98 101226;5300;6680 6121 7860 7860 98;7 1050 98 1;;;;;;;;;;;
2000;Enercon;1469 Längjum 1;Längjum C8c 82/98 110401;4800;5205 5026 6553 6553 97;4 858 98 20;;;;;;;;;;;;
2000;Enercon;1470 Längjum 2;Längjum C8c 82/98 110401;4800;5077 4981 6314 6314 97;7 837 98 13;;;;;;;;;;;;
2000;Enercon;1471 Längjum 3;Längjum C8c 82/98 110401;4800;5068 4995 6067 6067 95;2 819 96 30;;;;;;;;;;;;
2000;Enercon;1475 Lörby-Ysande 8;Lörby E3e 82/98 110501;5000;4919 5342 5902 5902 98;4 780 99 0;;;;;;;;;;;;
2000;Enercon;1476 Lörby-Ysande 9;Lörby E3e 82/98 110501;5000;4797 5287 5840 5840 99 768 99 1;;;;;;;;;;;;;
2000;Enercon;1477 Lörby-Ysande 10;Lörby E3e 82/98 110501;5000;4898 5518 5985 5985 99;4 768 99 1;;;;;;;;;;;;
2000;Vestas;1478 Halmstadgården 1;Halmsta C3b 90/80 110702;;5306 6353 6875 6875 99;5 867 95 4;;;;;;;;;;;;
2000;Vestas;1479 Halmstadgården 2;Halmsta C3b 90/80 110702;;5111 6024 6511 6511 98;9 830 96 1;;;;;;;;;;;;
2000;Vestas;1480 Halmstadgården 3;Halmsta C3b 90/80 110702;;4997 5903 6489 6489 99;7 824 96 0;;;;;;;;;;;;
2000;Vestas;1481 Oberga Alf;Oberga E7f 90/105 110930;5000;4680 4860 5929 5929 98;9 799 93 21;;;;;;;;;;;;
2000;Vestas;1482 Oberga Lena;Oberga E7f 90/105 110930;5000;4600 5009 5932 5932 98;4 768 92 38;;;;;;;;;;;;
2000;Vestas;1483 Betåsberget 1;Backe G20f 90/105 110909;;4938 4706 5424 5424 99;8 614 100 0;;;;;;;;;;;;
2000;Vestas;1484 Betåsberget 2;Backe G20f 90/105 110909;;4545 4361 5057 5057 99;5 571 100 0;;;;;;;;;;;;
2000;Vestas;1485 Hyringa 1;Hyringa C8e 90/95 110824;;5129 5079 5590 5590 90;4 702 79 95;;;;;;;;;;;;
2000;Vestas;1486 Hyringa 2;Hyringa C8e 90/95 110824;;5296 5248 6487 6487 99;4 825 94 3;;;;;;;;;;;;
2000;Vestas;1487 Östra Sallerup 1;Östra Salle D2h 90/80 110704;5400;5668 6408 7094 7094 95;6 889 96 39;;;;;;;;;;;;
2000;Vestas;1488 Östra Sallerup 2;Östra Salle D2h 90/80 110704;5400;5542 6433 7303 7303 97;4 917 94 26;;;;;;;;;;;;
2000;Vestas;1489 Östra Sallerup 3;Östra Salle D2h 90/80 110704;5400;5749 6426 7089 7089 93;3 927 96 6;;;;;;;;;;;;
2000;Enercon;1490 Horshaga 1;Skara D8d 82/108 110801;5000;4993 5089 5842 5842 96;9 774 98 8;;;;;;;;;;;;
2000;Enercon;1491 Horshaga 2;Skara D8d 82/108 110801;5000;4953 5033 5833 5833 95;8 823 98 8;;;;;;;;;;;;
2000;Enercon;1513 Lejesta Kraft; verk 5;Skarhu C2i 82/85 091101;5000;4779 3389 4292 4292 100;;;;;;;;;;;;
2000;Enercon;1514 Blåshult 6;Skarhult C2i 82/85 091101;5000;4603 3227 4394 4394 100;;;;;;;;;;;;;
2000;Enercon;1515 Frees & Frick; verk 7;Skarh C2i 82/85 091101;5000;4762 3435 4513 4513 100;;;;;;;;;;;;
2000;Enercon;1516 Blåshult 8;Skarhult C2i 82/85 091101;5000;5168 3671 4673 4673 100;;;;;;;;;;;;;
2000;Vestas;1517 STE A01;Orrefors F4i 90/125 110801;5531;5661 5415 7018 7018 99;5 915 96 0;;;;;;;;;;;;
2000;Vestas;1518 STE A02;Orrefors F4i 90/125 110801;5531;5729 5520 7015 7015 99;3 909 96 0;;;;;;;;;;;;
2000;Vestas;1519 STE A03;Orrefors F4i 90/125 110801;5531;5734 5507 6938 6938 99;6 906 96 1;;;;;;;;;;;;
2000;Vestas;1520 STE A04;Orrefors F4i 90/125 110801;5531;6074 5861 7373 7373 99;6 954 96 2;;;;;;;;;;;;
2000;Vestas;1521 STE A05;Orrefors F4i 90/125 110901;5531;5928 5720 7496 7496 99;7 949 96 1;;;;;;;;;;;;
2000;Vestas;1522 STE A06;Orrefors F4i 90/125 110901;5531;5922 5805 7300 7300 99;4 938 96 7;;;;;;;;;;;;
2000;Vestas;1523 STE A07;Orrefors F5c 90/125 110901;5531;5641 5426 6922 6922 98;6 916 96 0;;;;;;;;;;;;
2000;Vestas;1524 STE A08;Orrefors F5c 90/125 110901;5531;5423 5407 6804 6804 98;9 897 96 0;;;;;;;;;;;;
2000;Vestas;1525 STE A09;Orrefors F5c 90/125 110901;5531;5737 5304 6980 6980 99;8 905 96 1;;;;;;;;;;;;
2000;Vestas;1526 STE A10;Orrefors F5c 90/125 110901;5531;5434 5374 6742 6742 99;7 874 96 1;;;;;;;;;;;;
2000;Vestas;1547 Södervidinge 1 Nordväst;Sö C2h 90/80 111101;5600;5821 6453 7026 7026 95;5 885 96 2;;;;;;;;;;;;
2000;Vestas;1548 Södervidinge 2 Mitt;Södervi C2h 90/80 111101;5600;5755 6379 6883 6883 97;1 895 97 1;;;;;;;;;;;;
2000;Vestas;1549 Södervidinge 3 Sydöst;Söd C2h 90/80 111101;5600;5971 6693 6257 6257 84;9 902 97 2;;;;;;;;;;;;
2000;Vestas;1553 Sängsjön 4;Torvsele H21e 90/105 111030;5500;6254 4762 6663 6663 98;4 787 88 59;;;;;;;;;;;;
2000;Vestas;1554 Räpplinge; Svingan 2;Räppl H5a 90/80 111030;5200;4872 4918 6096 6096 98;8 866 96;;;;;;;;;;;
2000;Vestas;1555 Räpplinge 3;Räpplinge H5a 90/80 111030;5200;4864 4836 6071 6071 98;6 862 97;;;;;;;;;;;;
2000;Vestas;1556 Räpplinge 4;Räpplinge H5a 90/80 111030;5200;4942 4907 6098 6098 98;7 862 96;;;;;;;;;;;;
2000;Enercon;1559 Ollebacken; Hällingarna 2;O F20a 82/98 111201;5280;5854 5481 6754 6754 99 886 96 9;;;;;;;;;;;;
2000;Enercon;1560 Ollebacken; Hällingarna 3;O F20a 82/98 111201;5280;6567 6097 7275 7275 98;4 964 98 2;;;;;;;;;;;
2000;Enercon;1561 Ollebacken; Hällingarna 4;O F20a 82/98 111201;5280;5712 5457 6619 6619 98;8 909 97 0;;;;;;;;;;;
2000;Enercon;1562 Ollebacken; Hällingarna 5;O F20a 82/98 111201;5280;5906 5520 6662 6662 98 904 98 0;;;;;;;;;;;;
2000;Enercon;1563 Ollebacken; Hällingarna 6;O F20a 82/98 111201;5280;6244 5642 6980 6980 99;3 925 97 0;;;;;;;;;;;
2000;Enercon;1564 Ollebacken; Hällingarna 7;O F20a 82/98 111201;5280;6248 5508 7071 7071 99;2 928 97 6;;;;;;;;;;;
2000;Vestas;1581 Medhamra 1;Medhamra F8g 90/95 101001;;5479 5616 6748 6748 98;3 782 86 82;;;;;;;;;;;;
2000;Vestas;1582 Medhamra 2;Medhamra F8g 90/95 100101;;5553 5448 6907 6907 98;9 898 93 33;;;;;;;;;;;;
2000;Vestas;1583 Mariedamm 1;Norra Björnfa F9d 90/95 091216;;4514 4513 5698 5698 97;7 690 81;;;;;;;;;;;;
2000;Vestas;1584 Mariedamm 2;Norra Björnfa F9d 90/95 091216;;4612 4500 5633 5633 98;1 721 83;;;;;;;;;;;;
2000;Vestas;1585 Gummaråsen 1;Tvååker B5f 90/105 101201;;6144 7236 7617 7617 96;3 943 89 60;;;;;;;;;;;;
2000;Vestas;1586 Gummaråsen 2;Tvååker B5f 90/105 101201;;6043 7198 7495 7495 97;2 919 88 45;;;;;;;;;;;;
2000;Vestas;1587 Gummaråsen 3;Tvååker B5f 90/105 101201;;6819 7572 8002 8002 93;9 1017 90 37;;;;;;;;;;;;
2000;Vestas;1588 Gummaråsen 4;Tvååker B5f 90/105 101201;;5920 7101 7630 7630 98 1041 95 4;;;;;;;;;;;;;
2000;Vestas;1589 Gummaråsen 5;Tvååker B5f 90/105 101201;;7037 7885 8480 8480 99 1113 97 3;;;;;;;;;;;;;
2000;Vestas;1590 Gislorp;Gislorp F8h 90/95 100101;;4878 4951 5224 5224 98;9;;;;;;;;;;;;
2000;Vestas;1591 Stavhälla 1;Stavhälla G10a 90/105 111101;;5460 5197 6129 6129 91;1 771 96;;;;;;;;;;;;
2000;Enercon;1592 Glysbyn;Glysbyn C8g 82/108 110420;;6014 5943 7145 7145 97;9 875 96 20;;;;;;;;;;;;
2000;Enercon;1593 Brålanda Torp 1;Brålanda B9c 82/108 110906;;5397 5277 6396 6396 97;4 837 96 20;;;;;;;;;;;;
2000;Enercon;1594 Brålanda Torp 2;Brålanda C9a 82/108 110906;;5428 5409 6351 6351 98 822 95 20;;;;;;;;;;;;;
2000;Enercon;1595 Bolstad Prästgård 1;Bolstad C9a 82/108 110927;;5764 5614 6766 6766 97;5 831 96 22;;;;;;;;;;;;
2000;Enercon;1596 Bolstad Prästgård 2;Bolstad C9a 82/108 110927;;5875 5825 7012 7012 98;7 865 98 6;;;;;;;;;;;;
2000;Vestas;1599 SKA A01;Svedala C2c 90/80 111215;5742;5223 5991 6475 6475 99;5 872 98 3;;;;;;;;;;;;
2000;Vestas;1600 SKA A02;Svedala C2c 90/80 111215;5742;4835 5318 5812 5812 99;6 776 97 2;;;;;;;;;;;;
2000;Vestas;1601 SKA A03;Svedala C2c 90/80 111215;5742;5492 6293 6695 6695 99;7 755 95 5;;;;;;;;;;;;
2000;Vestas;1602 SKA A04;Svedala C2b 90/80 111215;5742;6180 6991 7365 7365 99;4 955 96 18;;;;;;;;;;;;
2000;Vestas;1603 SKA A05;Svedala C2b 90/80 111215;5742;5893 6712 7023 7023 99;6 943 98 2;;;;;;;;;;;;
2000;Enercon;1605 Stora Lund 2;Götene D8g 82/108 100801;5000;5263 5517 6516 6516 97;9 832 92 24;;;;;;;;;;;;
2000;Enercon;1606 Kollbogården 2;Götene D8g 82/108 100802;5000;5065 5353 6435 6435 96;8 848 88 82;;;;;;;;;;;;
2000;Vestas;1609 Karstorp 1;Karstorp D8d 90/105 120321;;4589 4549 5558 5558 100 706 100 0;;;;;;;;;;;;;
2000;Vestas;1610 Karstorp 2;Karstorp D8d 90/105 120322;;4624 4598 5574 5574 100 696 100 0;;;;;;;;;;;;;
2000;Vestas;1611 Karstorp 3;Karstorp D8d 90/105 120321;;4778 4802 5805 5805 100 707 100 0;;;;;;;;;;;;;
2000;Vestas;1612 Kilagården 1;Kilagården C8f 90/105 120327;;5095 5006 5920 5920 100 729 100 0;;;;;;;;;;;;;
2000;Vestas;1613 Kilagården 2;Kilagården C8f 90/105 120402;;5188 5139 6137 6137 100 716 94 0;;;;;;;;;;;;;
2000;Vestas;1614 Kilagården 3;Kilagården C8f 90/105 120421;;5393 5158 6220 6220 100 754 100 0;;;;;;;;;;;;;
2000;Vestas;1615 KNA A01;Knäred C4f 90/105 120309;4428;4713 5209 4652 4652 98;3;;;;;;;;;;;;
2000;Vestas;1616 KNA A02;Knäred D4d 90/105 120309;4428;4496 4944 4334 4334 99;7;;;;;;;;;;;;
2000;Vestas;1617 KNA A03;Knäred D4d 90/105 120309;4428;4745 5314 4662 4662 99;1;;;;;;;;;;;;
2000;Vestas;1619 KNA A05;Knäred D4d 90/105 120309;4428;4804 5300 4691 4691 99;7;;;;;;;;;;;;
2000;Vestas;1620 KNA A06;Knäred C4f 90/105 120309;4428;4990 5561 4894 4894 98;9;;;;;;;;;;;;
2000;Vestas;1621 KNA A07;Knäred D4d 90/105 120309;4428;4572 5048 4354 4354 98;2;;;;;;;;;;;;
2000;Vestas;1622 KNA A08;Knäred D4d 90/105 120309;4428;4505 5005 4458 4458 99;2;;;;;;;;;;;;
2000;Vestas;1623 KNA A09;Knäred C4f 90/105 120309;4428;5213 5827 5187 5187 99;4;;;;;;;;;;;;
2000;Vestas;1624 KNA A10;Knäred D4d 90/105 120309;4428;4468 5178 4457 4457 98;7;;;;;;;;;;;;
2000;Vestas;1625 Munkedal - Järmunderöd 1; B8g 90/105 120410;5300;5373 5336 5284 5284 100 696 97 0;;;;;;;;;;;;;
2000;Vestas;1626 Munkedal - Järmunderöd 2; B8g 90/105 120410;5300;5158 5149 5151 5151 100 652 93 0;;;;;;;;;;;;;
2000;Vestas;1627 Munkedal - Järmunderöd 3; B8g 90/105 120411;5300;6162 6012 5960 5960 100 777 96 0;;;;;;;;;;;;;
2000;Vestas;1628 Ulricehamn - Bondegärde 1; D7a 90/105 120519;5500;6154 6813 7194 7194 96;6 879 92 31;;;;;;;;;;;;
2000;Vestas;1629 Ulricehamn - Bondegärde 2; D7a 90/105 120518;5500;6441 7218 7581 7581 96;2 973 94 17;;;;;;;;;;;;
2000;Vestas;1630 Ulricehamn - Bondegärde 3; D7a 90/105 120522;5500;6632 7210 7580 7580 96;5 929 92 29;;;;;;;;;;;;
2000;Vestas;1631 Väby 1;Väby C5d 90/105 111210;5400;6441 7144 7421 7421 92;3 983 97;;;;;;;;;;;;
2000;Vestas;1632 Väby 2;Väby C5d 90/105 111215;5400;5720 6286 6696 6696 93;5 893 96;;;;;;;;;;;;
2000;Vestas;1633 Väby 3;Väby C5d 90/105 120122;5400;5314 5650 5946 5946 94;3 796 95;;;;;;;;;;;;
2000;Vestas;1634 Väby 4;Väby C5d 90/105 120210;5400;4989 5261 5522 5522 91 734 91;;;;;;;;;;;;;
2000;Vestas;1635 Väby 5;Väby C5d 90/105 120215;5400;3811 4599 5414 5414 93;6 759 92;;;;;;;;;;;;
2000;Vestas;1636 Väby 6;Väby C5d 90/105 120218;5400;5332 5791 6290 6290 94 874 95;;;;;;;;;;;;;
2000;Enercon;1640 Stora Istad 6;Stora Istad H5a 82/78 111109;5500;5393 5327 6509 6509 99;4 889 99 1;;;;;;;;;;;;
2000;Enercon;1641 Stora Istad 8;Stora Istad H5a 82/78 111109;5500;5610 5567 6717 6717 97;9 923 99 1;;;;;;;;;;;;
2000;Vestas;1644 Frotorps 1; Ingrid;Frotorp E9i 90/105 120608;5000;4694 4590 5906 5906 99;1 848 97 6;;;;;;;;;;;
2000;Vestas;1645 Frotorps 2; Wera;Frotorp E9i 90/105 120608;5000;4479 4490 5567 5567 99;2 777 95 24;;;;;;;;;;;
2000;Vestas;1646 Frotorps 3; Ylva;Frotorp E9i 90/105 120609;5000;4862 4630 4955 4955 99;5;;;;;;;;;;;
2000;Enercon;1647 Egby 6;Egby H5a 82/78 120706;3000;3959 4555 5405 5405 98 777 98 6;;;;;;;;;;;;;
2000;Enercon;1648 Egby 7;Egby H5a 82/78 120718;3000;4337 4592 5457 5457 99 759 97 15;;;;;;;;;;;;;
2000;Enercon;1649 Egby 8;Egby H5a 82/78 120803;3000;4385 4691 5611 5611 98;7 791 98 3;;;;;;;;;;;;
2000;Enercon;1650 Egby 9;Egby H5a 82/78 120823;3000;4372 4618 5485 5485 98;2 762 96 17;;;;;;;;;;;;
2000;Enercon;1651 Egby 10;Egby H5a 82/78 120831;3000;4614 5008 5857 5857 98;8 813 97 14;;;;;;;;;;;;
2000;Enercon;1652 Hästhalla 1;Hästhalla C8f 82/78 120416;4600;4497 4386 5468 5468 99;5 629 95 0;;;;;;;;;;;;
2000;Enercon;1653 Hästhalla 2;Hästhalla C8f 82/78 120414;4600;4160 4160 4978 4978 99;7 614 97 0;;;;;;;;;;;;
2000;Enercon;1654 Hästhalla 3;Hästhalla C8f 82/78 120516;4600;4177 4246 5038 5038 99;5 617 97 0;;;;;;;;;;;;
2000;Enercon;1655 Hästhalla 4;Hästhalla C8f 82/78 120416;4600;4538 4494 5532 5532 99;7 670 99 0;;;;;;;;;;;;
2000;Vestas;1656 Storugns III;Lärbro J7c 90/105 120615;6100;5879 6160 6799 6799 97;9 792 92 59;;;;;;;;;;;;
2000;Vestas;1657 Furulund 1;Nymö E3a 90/95 120706;5200;5255 5763 6552 6552 99;7 845 100 0;;;;;;;;;;;;
2000;Vestas;1658 Furulund 2;Nymö E3a 90/95 120706;5200;5498 5939 6808 6808 99;6 870 100 0;;;;;;;;;;;;
2000;Enercon;1659 Sölve 1;Sölvedal E3b 82/98 120608;4950;5215 5745 6142 6142 98;2 828 98;;;;;;;;;;;;
2000;Enercon;1660 Sölve 2;Sölvedal E3b 82/98 120608;4950;5226 5577 6366 6366 98;3 826 98;;;;;;;;;;;;
2000;Vestas;1661 Hackeryd Vind 1;Västerlösa F8e 90/105 120630;4800;5464 5420 6654 6654 97;8 852 97 0;;;;;;;;;;;;
2000;Vestas;1662 Hackeryd Vind 2;Västerlösa F8e 90/105 120627;4800;5361 5428 6742 6742 99;3 844 97 0;;;;;;;;;;;;
2000;Vestas;1663 Hackeryd Vind 3;Västerlösa F8e 90/105 120626;4800;5424 5406 6773 6773 99;1 858 97 0;;;;;;;;;;;;
2000;Vestas;1664 Vävinge Vind 1;Skänninge F8d 90/80 120630;4450;4771 4818 5987 5987 99;1 770 95 2;;;;;;;;;;;;
2000;Vestas;1665 Vävinge Vind 2;Skänninge F8d 90/80 120704;4450;4812 4833 6092 6092 99;6 782 97 0;;;;;;;;;;;;
2000;Vestas;1666 Hakarp 1;Hakarp F3d 90/105 120831;5000;4789 4913 5716 5716 99;6 724 99 0;;;;;;;;;;;;
2000;Vestas;1667 Hakarp 2;Hakarp F3d 90/105 120831;5000;4752 4813 5529 5529 99;5 678 99 0;;;;;;;;;;;;
2000;Vestas;1668 Hakarp 3;Hakarp F3d 90/105 120831;5000;4422 4618 5224 5224 99;6 661 100 0;;;;;;;;;;;;
2000;Vestas;1669 Hakarp 4;Hakarp F3d 90/105 120831;5000;4767 4836 5434 5434 99;6 671 100 0;;;;;;;;;;;;
2000;Vestas;1670 Hakarp 5;Hakarp F3g 90/105 120831;5000;4624 4911 5600 5600 99;4 713 99 0;;;;;;;;;;;;
2000;Vestas;1671 Hakarp 6;Hakarp F3d 90/105 120831;5000;4829 4889 5636 5636 99;5 721 100 0;;;;;;;;;;;;
2000;Vestas;1672 Hakarp 7;Hakarp F3d 90/105 120831;5000;4642 4805 5525 5525 99;6 703 99 0;;;;;;;;;;;;
2000;Vestas;1673 Hakarp 8;Hakarp F3d 90/105 120831;5000;4648 4836 5385 5385 99;7 664 100 0;;;;;;;;;;;;
2000;Vestas;1674 Tolvmanstegen 1;Tolvmans A9i 90/105 111125;5200;5300 5553 6155 6155 98;7 842 99 0;;;;;;;;;;;;
2000;Vestas;1675 Tolvmanstegen 2;Tolvmans A9i 90/105 111125;5200;6005 6313 6947 6947 99;3 839 96 0;;;;;;;;;;;;
2000;Vestas;1676 Tolvmanstegen 3;Tolvmans A9i 90/105 111130;5200;5412 5805 6494 6494 99;8 858 100 0;;;;;;;;;;;;
2000;Vestas;1677 Tolvmanstegen 4;Tolvmans A9i 90/105 111208;5200;5291 5401 6322 6322 99;8 849 100 0;;;;;;;;;;;;
2000;Vestas;1678 Tolvmanstegen 5;Tolvmans A9i 90/105 111130;5200;5359 5673 6501 6501 99;6 853 98 0;;;;;;;;;;;;
2000;Vestas;1679 Tolvmanstegen 6;Tolvmans A9i 90/105 111208;5200;5716 6157 6834 6834 99;7 886 99 0;;;;;;;;;;;;
2000;Vestas;1680 Tolvmanstegen 7;Tolvmans A9i 90/105 111208;5200;6066 6429 7013 7013 99;7 902 100 0;;;;;;;;;;;;
2000;Vestas;1681 Tolvmanstegen 8;Tolvmans A9i 90/105 111130;5200;5233 5471 6306 6306 99;7 856 100 0;;;;;;;;;;;;
2000;Vestas;1682 Tolvmanstegen 9;Tolvmans A9i 90/105 111125;5200;5488 5677 6424 6424 99;7 838 99 0;;;;;;;;;;;;
2000;Vestas;1683 Tolvmanstegen 10;Tolvman A9i 90/105 111215;5200;5766 6197 6795 6795 99;6 870 99 0;;;;;;;;;;;;
